%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,education$,coll_enrollment,income_middle60%,comm_export_capita
22.2,3.75,4.1875,3.8125,3.0,4.30494,131.08604,52.4,6716.1329344604665
22.5,4.0,4.0,3.5,3.0,1.49617,99.64744,46.1,445.8161726708197
13.5,3.75,4.3125,3.75,2.625,6.21507,102.63951,54.900000000000006,18480.51778928328
14.4,3.875,4.375,3.75,2.5625,6.39072,101.59046,54.5,19944.4557168574
14.8,3.777777778,4.277777778,3.777777778,2.611111111,6.85779,99.69329,55.1,14100.765055387876
15.4,3.777777778,4.277777778,3.833333333,2.666666667,6.622,98.19066,54.8,16891.500710163204
15.2,3.75,4.1875,3.875,2.875,6.49111,96.91104,55.1,19779.22501027334
16.0,3.75,4.25,3.875,3.0,7.65619,98.03959,55.2,18114.390400628447
15.6,3.75,4.1875,3.8125,3.0,7.71773,128.46305,54.9,17446.521802002193
21.9,3.0,3.333333333,3.375,2.875,4.05037,71.7623,45.6,1968.9532776358087
20.0,3.045454545,3.363636364,3.409090909,2.954545455,3.60314,77.44215,46.7,2298.0485655191333
20.4,3.045454545,3.363636364,3.409090909,3.0,3.5085,78.2238,46.4,2612.691464409161
17.9,3.045454545,3.363636364,3.590909091,2.954545455,3.8638,80.85283,46.900000000000006,2248.7684057107435
16.4,3.045454545,3.363636364,3.727272727,3.0,3.51031,83.62145,46.900000000000006,2860.848415132928
13.2,2.961538462,3.307692308,3.538461538,3.076923077,4.80828,87.44397,47.6,3330.1483785288124
12.6,2.892857143,3.285714286,3.5,3.142857143,4.53768,87.12412,47.0,3319.178635740292
10.9,2.9,3.3,3.4,3.1,4.12567,86.20559,48.0,3284.450015451589
23.1,3.0,2.75,3.25,2.75,6.45157,84.80422,48.9,1010.1340322384395
20.5,3.5,2.5,3.25,2.5,6.25478,90.42879,50.3,1507.7077055910554
31.1,4.0,3.5,4.5,3.0,4.709555,19.55326,44.1,29.0843929856482
24.5,4.0,3.5,4.0,2.5,3.2543,27.36668,42.900000000000006,49.9041281310764
