%pov,cpia_regulation,cpia_gender,cpia_resources,cpia_transparency,cpia_inclusion,cpia_trade,education$,coll_enrollment,income_quintile2,income_quintile3,income_quintile4,income_quintile5,income_top10%,income_middle60%,comm_import_capita,comm_export_capita
18.5,3.75,4.3125,3.75,2.625,3.7375,4.1875,4.92191,102.07882,11.6,15.7,21.7,44.2,28.9,49.0,7803.043807415069,4978.069378212806
17.9,3.875,4.375,3.75,2.5625,3.7875,4.3125,4.70212,103.83484,11.7,15.8,21.6,44.1,28.9,49.1,8955.502992893566,5421.985711453786
17.9,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,5.56215,106.07156,12.0,16.3,22.0,42.5,27.5,50.3,6794.967668810164,4187.069043427921
18.0,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,5.40289,106.94795,11.8,15.9,21.9,43.4,28.3,49.6,7347.175966651219,4673.563218734335
17.9,3.75,4.1875,3.875,2.875,3.7375,4.1875,5.12127,106.81678,11.9,15.8,21.6,43.8,28.7,49.3,7854.43015261102,5644.135755326041
23.6,3.75,4.3125,3.75,2.625,3.7375,4.1875,4.22328,89.2293,11.4,16.6,23.2,43.3,27.4,51.2,3371.855377127654,1937.9751358623016
21.6,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,4.16182,97.94383,11.8,16.9,23.7,41.5,25.7,52.4,2668.1779407469367,1992.3308962362416
22.3,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,3.45849,100.23869,11.8,17.1,24.2,41.1,25.0,53.1,3062.5287434290462,2440.544324256326
22.9,3.75,4.1875,3.875,2.875,3.7375,4.1875,3.02775,100.41964,11.6,17.1,24.6,41.2,24.9,53.3,3790.3054254100057,3111.6473150453
23.0,3.75,4.25,3.875,3.0,3.75,4.3125,2.93955,99.36214,11.5,17.1,24.3,41.8,25.5,52.900000000000006,3502.821618817596,2886.8396347897487
39.1,4.5,4.0,4.5,3.5,4.1,4.5,5.02795,40.15979,9.6,13.2,19.0,52.2,37.9,41.8,178.5994682859292,56.069662268823166
48.3,3.5,3.5,3.5,3.0,3.4,4.5,5.13697,22.01669,10.7,15.2,22.1,45.8,30.0,48.0,318.7244782854691,134.02583666186536
24.5,3.75,4.25,3.875,3.0,3.75,4.3125,4.42657,94.16962,10.9,16.3,23.2,45.0,28.7,50.400000000000006,2628.794111106188,1559.7875526265382
11.6,3.55,4.1,3.6,2.65,3.62,3.95,5.58241,97.12325,14.6,18.2,22.7,34.6,20.6,55.5,9810.824940988983,8945.891833135547
11.5,3.45,4.1,3.6,2.65,3.6,4.0,5.57559,96.83547,14.7,18.2,22.7,34.4,20.4,55.6,11467.335226332772,10455.452421883252
12.3,3.75,4.3125,3.75,2.625,3.7375,4.1875,5.10509,98.25645,14.7,18.2,22.6,34.4,20.4,55.5,14605.752089814194,13156.351312259616
11.3,3.875,4.375,3.75,2.5625,3.7875,4.3125,5.10609,98.10135,14.9,18.3,22.6,34.0,20.1,55.8,16813.57286391638,14472.217258954068
12.7,3.777777778,4.277777778,3.777777778,2.611111111,3.733333333,4.388888888888889,5.56859,97.79404,14.6,18.2,22.7,34.7,20.6,55.5,11718.485312077595,10984.829044810702
13.6,3.777777778,4.277777778,3.833333333,2.666666667,3.755555556,4.333333333333333,5.56251,97.85898,14.7,18.2,22.7,34.8,20.7,55.6,12980.537236226211,11927.635942502697
13.5,3.75,4.1875,3.875,2.875,3.7375,4.1875,5.56563,97.8459,14.7,18.2,22.6,34.8,20.8,55.5,15216.381675072083,14119.022454225676
14.5,3.75,4.25,3.875,3.0,3.75,4.3125,5.66161,97.85595,14.6,18.2,22.6,35.2,21.1,55.4,13796.973582498971,13163.796075558574
66.6,3.055555556,3.25,3.277777778,2.805555556,3.144444444,3.4166666666666665,5.06321,88.91318,4.7,7.5,14.2,71.0,54.2,26.4,1122.7221919505023,958.6654754304652
62.1,2.972222222,3.25,3.25,2.694444444,3.138888889,3.5,4.86601,89.49576,4.9,8.1,15.8,68.7,51.3,28.8,1732.2586977343506,1462.7579986651851
53.2,2.916666667,3.333333333,3.333333333,2.555555556,3.2,3.555555555555556,5.72173,90.25352,4.7,8.0,15.9,68.9,51.3,28.6,1598.842753586261,1589.8166543199902
55.5,3.027777778,3.305555556,3.277777778,2.555555556,3.255555556,3.5277777777777777,6.05628,93.80908,4.8,8.2,16.5,68.2,50.5,29.5,1823.4127754012088,1691.7864432099946
20.3,3.55,4.1,3.6,2.65,3.62,3.95,4.13003,117.51314,12.8,17.4,23.2,39.6,24.3,53.4,6633.767076456146,4416.351675734847
19.7,3.45,4.1,3.6,2.65,3.6,4.0,4.1676,117.54267,12.5,17.2,23.2,40.4,24.9,52.9,7428.291026427361,4819.887250307547
